fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
13/05/2017,33,1058,26,1,399,44,189,36,20
14/05/2017,29,1002,52,0,722,55,290,52,30
15/05/2017,24,1114,54,1,123,74,6,47,25
16/05/2017,24,1029,69,0,746,63,248,35,29
17/05/2017,30,1010,48,1,997,50,401,37,25
18/05/2017,31,1013,72,0,706,45,395,64,31
19/05/2017,12,1013,86,0,265,78,306,56,23
20/05/2017,18,1007,54,1,566,23,329,49,27
21/05/2017,27,946,66,0,392,91,181,51,27
22/05/2017,26,951,38,0,675,11,315,56,24
23/05/2017,30,1070,99,1,641,21,109,58,28
24/05/2017,33,1021,43,0,149,94,437,53,28
25/05/2017,17,1059,93,0,568,16,192,49,29
26/05/2017,24,1000,79,0,552,50,439,52,22
27/05/2017,31,982,42,1,271,59,94,46,17
28/05/2017,29,937,32,1,239,60,287,47,21
29/05/2017,23,1046,64,1,915,57,223,50,20
30/05/2017,24,971,60,0,752,41,294,63,29
31/05/2017,30,1065,86,0,175,73,367,45,37
01/06/2017,21,991,52,1,838,48,361,53,25
02/06/2017,26,981,90,0,563,64,478,52,29
03/06/2017,32,989,85,1,978,62,247,46,27
04/06/2017,18,1019,65,0,571,19,438,65,34
05/06/2017,18,989,82,0,993,32,111,72,18
06/06/2017,30,989,50,1,659,76,269,73,21
07/06/2017,21,1021,45,0,465,42,490,43,34
08/06/2017,23,930,69,0,488,52,204,59,21
09/06/2017,17,952,86,1,301,19,417,57,27
10/06/2017,23,1042,55,0,831,66,475,55,40
11/06/2017,28,992,62,1,305,34,239,58,20
12/06/2017,28,977,63,0,851,6,273,35,25
13/06/2017,29,938,82,0,521,79,140,44,31
14/06/2017,18,1018,80,0,396,42,61,41,31
15/06/2017,23,1025,65,0,645,6,462,56,26
16/06/2017,22,999,98,1,163,83,100,48,21
17/06/2017,24,983,99,1,207,68,179,61,19
18/06/2017,31,982,87,0,880,66,357,62,28
19/06/2017,27,956,57,1,695,61,314,52,20
